"country","V5","V6","V7","V8","V9","V10","V11","V23","V24","V55","V59","V67","V69","V70","V71","V72","V73","V76","V77","V78","V79","V108","V110","V111","V113","V114","V115","V117","V119","V120","V121","V122","V123","V124","V131","V132","V133","V134","V136","V137","V138","V139","V97","V98","V99","V100","V101","V140","V143","V150","V151","V153","V155","V156","V170"
"Iraq",1.6652754590985,2.3232577665827,2.73170731707317,1.45325542570952,1.18,2.25567703952902,2.24769874476987,5.91435768261965,1.68028419182948,6.52759197324415,5.85355648535565,2.54127659574468,1.30919931856899,2.38143459915612,3.22934232715008,1.81704260651629,2.52301255230126,3.7910699241786,2.26582278481013,2.28111769686706,1.90627615062762,1.8645920941968,2.86312118570183,2.4735516372796,2.38047138047138,2.3567046450482,2.72679965307892,3.13913824057451,2.20212765957447,2.76487252124646,2.38807339449541,2.60643330179754,2.67073170731707,2.26056338028169,6.8379746835443,6.16170212765957,8.27417998317914,7.36683417085427,7.15595544130248,6.89367088607595,5.80340425531915,6.6043771043771,5.90496948561465,2.87301587301587,2.98143459915612,3.2161480235492,6.14789337919175,7.94621848739496,1.98457583547558,1.4926913155632,1.5597592433362,1.56287425149701,2.60475352112676,2.35823582358236,1.94266441821248
"Japan",1.60276266220176,1.65880370682393,2.06222418358341,1.57810471657291,3.1155303030303,1.78444632290786,2.44171523730225,6.91180176396472,1.61236203090508,5.75522648083624,6.03658536585366,2.73147377185679,2.73227024758708,3.63619660082683,4.93165784832452,3.37144128113879,4.10044247787611,4.83416628805089,3.80351509689049,3.32966549295775,4.11141304347826,3.36009389671361,2.22754491017964,2.27996575342466,2.19530230535015,2.01735952489721,2.8730378578024,2.93493635077794,2.33161953727506,2.47977470558116,2.31371640407785,2.64962726304579,2.74468085106383,2.85529411764706,6.49735957753241,2.07109252483011,7.89895138226883,6.89156035328754,7.46924333151878,4.0271629778672,2.87882423515297,7.91587452471483,4.51436170212766,3.72322970639033,4.14111812443643,4.67799642218247,5.88784067085954,8.27171903881701,1.95592048401037,1.69610182975338,1.8303635067712,3.26477987421384,2.83116883116883,2.78886010362694,2.02888700084962
"Jordan",1.6025,1.95666666666667,2.8,1.49110922946655,1.06844741235392,1.98,1.8575,6.61,1.8675,7.26583333333333,5.33,2.32258064516129,1.16273187183811,2.57107023411371,3.26043405676127,1.71762740183793,2.1761744966443,3.49539748953975,2.08180300500835,1.90583333333333,1.6505016722408,1.88464800678541,2.78456318914334,2.65439330543933,1.6988255033557,1.90456081081081,2.34358974358974,3.15446428571429,2.43128781331029,2.73717371737174,2.67488986784141,2.67287977632805,2.76358436606292,2.58834244080146,7.57130730050934,5.68641114982578,7.13796058269066,6.70439189189189,6.78061674008811,5.54445385266723,7.60353535353535,6.61143818334735,6.71779661016949,3.72681704260652,3.00753768844221,3.84666666666667,5.42614601018676,8.29292929292929,1.62384550797649,1.54697986577181,1.62574595055413,1.16150627615063,2.83459915611814,2.32480818414322,1.4175
"Kazakhstan",1.66666666666667,1.81133333333333,2.592,1.58533333333333,2.34533333333333,1.79933333333333,2.312,7.25466666666667,1.612,7.03733333333333,6.04933333333333,2.42,1.51133333333333,3.34866666666667,3.63066666666667,2.78266666666667,3.65733333333333,4.15266666666667,2.682,3.032,2.608,2.346,2.49666666666667,2.302,2.52133333333333,2.528,2.05,2.228,2.27466666666667,2.40866666666667,2.45933333333333,2.42666666666667,2.39733333333333,2.39133333333333,6.76133333333333,3.982,8.07466666666667,7.814,7.90266666666667,7.378,6.586,8.05533333333333,6.686,4.02466666666667,4.838,4.63266666666667,6.37133333333333,8.64733333333333,2.134,1.82933333333333,1.85066666666667,2.91189759036145,2.80313199105145,2.08021390374332,1.95730027548209
"Kuwait",1.53115264797508,1.97535771065183,2.19836734693878,1.29067930489731,1.13375796178344,1.66666666666667,1.74148606811146,7.20932069510269,1.7,7.96451104100946,7.19131832797428,2.32336297493937,1.32560066280033,2.48095238095238,3.17102137767221,2.03228346456693,2.52022204599524,3.26868044515103,2.25893566322478,2.4048,1.93445243804956,1.73752012882448,2.79919028340081,2.62277867528271,1.97908286403862,1.82538399353274,2.12130885873903,2.55098684210526,2.18211648892535,2.39282735613011,2.24815724815725,2.41165755919854,2.62896825396825,2.11246943765281,6.09230769230769,5.23714759535655,6.83291139240506,6.52091878589007,7.013256006628,6.18936341659952,7.48334687246141,6.68910256410256,5.92258579409417,4.0377358490566,3.47525530243519,3.87372549019608,6.41619887730553,8.16785431512272,1.85623510722796,1.45661331086773,1.54419410745234,1.45454545454545,2.89643744821872,2.60245183887916,1.35458167330677
"Kyrgyzstan",1.784,2.146,2.41733333333333,1.446,1.79533333333333,1.68024032042724,2.09145527369826,6.96308724832215,1.61958041958042,7.37733333333333,6.38066666666667,2.18615591397849,1.60928043039677,2.31154102735157,3.09619238476954,2.65954606141522,3.37667560321716,3.42752171008684,2.70194239785666,2.70013386880857,2.45448460508701,2.51682368775236,2.44265593561368,2.21762349799733,2.46020066889632,2.56559571619813,2.43335565974548,2.47785234899329,2.33869885982562,2.42312834224599,2.18888144675151,2.44042838018742,2.41164658634538,2.30207635632954,5.38610554442218,4.17100868403474,6.64843228819213,6.30861723446894,6.36965240641711,6.44451871657754,6.70340681362725,7.41243315508021,5.80882352941176,5.15010006671114,4.68804275217101,3.77236315086782,6.81903485254692,7.89185580774366,1.47965310206805,1.63331094694426,1.68477531857814,2.01896425966448,2.71777777777778,2.19984627209839,2.31395348837209
"Lebanon",1.65118243243243,1.98641765704584,2.53751103265666,1.55660377358491,1.74570446735395,2.05443886097152,2.02006688963211,6.50377200335289,1.8909426987061,6.96822742474916,5.99833194328607,2.12564543889845,1.49058219178082,2.51010101010101,3.03223070398643,2.17666948436179,2.54430379746835,3.13169073916737,2.58679085520745,2.55583756345178,2.61505922165821,2.62924281984334,2.77517361111111,2.74567474048443,2.65687121866897,2.66141732283465,3.04596527068437,2.93811659192825,2.50966608084359,2.65636042402827,2.53846153846154,2.62729658792651,2.70510563380282,2.6646234676007,5.65505522514868,3.93396226415094,6.22126188418323,5.68003412969283,6.34729493891798,5.74935622317597,5.0189165950129,6.95704467353952,5.19618055555556,4.44653550042772,4.25935596170583,4.35708227311281,5.62220309810671,8.00675675675676,2.12969283276451,1.61598609904431,1.51858407079646,2.30486763450043,2.26551724137931,2.07186147186147,2.15895710681245
"Libya",1.43353978084802,1.83686236766121,2.28466796875,1.31988472622478,1.03798670465337,1.78256750355282,1.72452830188679,7.26089015151515,1.88396414342629,7.21593090211132,6.875589066918,2.28946090335114,1.21741245136187,2.75073457394711,3.89029741589469,1.67568873852102,2.51895043731778,3.5717082721488,1.86673151750973,1.90961817303045,1.77703027390678,2.3935516888434,3.0475,3.00393507132317,2.19186911254338,2.22395571212884,2.97210953346856,3.28687196110211,2.41158536585366,2.58699101004759,2.14972180070814,2.52674672489083,2.68514412416851,2.20637408568443,5.8416968442835,5.7171875,8.0745501285347,6.84243048403708,7.58346333853354,5.61882716049383,6.23873640600725,6.51977687626775,6.00785468826706,3.82106782106782,2.71837130392632,2.90220048899756,7.42014242115972,8.27755905511811,1.62211538461538,1.6633714880333,1.45409836065574,1.27294569918308,3.3317144244779,2.35135135135135,1.5982905982906
"Malaysia",1.63692307692308,1.75846153846154,2.40107775211701,1.22,1.18538461538462,1.47384615384615,1.76384615384615,7.13384615384615,1.91461538461538,7.50076923076923,6.49153846153846,2.50230769230769,1.50538461538462,2.85153846153846,3.16384615384615,2.10384615384615,3.57461538461538,3.97307692307692,2.37,2.29230769230769,2.17153846153846,1.61354888375674,2.1693610469592,2.1431870669746,2.08852963818322,1.97998460354119,2.10785824345146,2.24018475750577,1.95996920708237,2.16243264049269,1.96997690531178,2.09083910700539,2.10700538876059,2.09391839876828,6.68307692307692,5.63076923076923,7.86538461538461,6.20846153846154,7.48461538461538,6.57,8.09,7.72769230769231,6.08923076923077,5.96923076923077,3.53384615384615,3.63692307692308,6.85923076923077,8.60923076923077,1.55461538461538,1.35769230769231,1.42307692307692,1.91870560378848,2.11713836477987,2.04694835680751,1.84930448222566
"Mexico",1.87993996998499,1.57528764382191,2.61430715357679,1.192,1.627,1.387,2.03351675837919,8.5125,1.87575150300601,8.44198895027624,6.996,2.23883592574009,1.22395571212884,2.84445559458103,4.83717434869739,2.01905717151454,2.57601605619669,3.97444889779559,2.62988966900702,2.02205513784461,2.28893340010015,2.08304152076038,2.97941767068273,2.85435435435435,3.01700850425213,2.95606060606061,2.7734335839599,3.09974683544304,1.89889336016097,2.41838272225013,2.60060210737582,2.13319878910192,2.12222222222222,2.25793450881612,5.05966343702193,4.35930292157868,7.26605968639353,6.01529831718511,6.64733059548255,5.55436991869919,5.44692737430168,8.34039334341906,6.04769230769231,4.57775541016608,3.65491183879093,3.32345554997489,7.70801815431165,8.53795877325289,1.70820820820821,1.85164556962025,1.87633046122656,2.60792280345353,2.7907444668008,2.22678843226788,2.122
