Country,Category,Price (USD),Relative Cost (%) to Sweden
Andorra,Water (1.5 liter bottle),0.78,37.7
Andorra,Bottle of Wine (Mid-Range),6.01,37.7
Andorra,Domestic Beer (0.5 liter bottle),1.28,37.7
Andorra,Imported Beer (0.33 liter bottle),1.22,37.7
Andorra,Cigarettes 20 Pack (Marlboro),5.61,37.7
Andorra,One-way Ticket (Local Transport),2.02,37.7
Andorra,Monthly Pass (Regular Price),32.36,37.7
Andorra,Taxi Start (Normal Tariff),2.86,37.7
Andorra,Taxi 1km (Normal Tariff),3.24,37.7
Andorra,Taxi 1hour Waiting (Normal Tariff),5.39,37.7
Andorra,Gasoline (1 liter),1.64,37.7
Andorra,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),20496.69,37.7
Andorra,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),32363.19,37.7
Andorra,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",119.74,37.7
Andorra,Mobile Phone Monthly Plan with Calls and 10GB+ Data,28.05,37.7
Andorra,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",46.87,37.7
Andorra,"Fitness Club, Monthly Fee for 1 Adult",56.25,37.7
Andorra,Tennis Court Rent (1 Hour on Weekend),17.26,37.7
Andorra,"Cinema, International Release, 1 Seat",9.71,37.7
Andorra,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",609.51,37.7
Andorra,"International Primary School, Yearly for 1 Child",13549.39,37.7
Andorra,1 Pair of Jeans (Levis 501 Or Similar),104.28,37.7
Andorra,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.8,37.7
Andorra,1 Pair of Nike Running Shoes (Mid-Range),118.67,37.7
Andorra,1 Pair of Men Leather Business Shoes,134.85,37.7
Andorra,Apartment (1 bedroom) in City Centre,1094.95,37.7
Andorra,Apartment (1 bedroom) Outside of Centre,884.59,37.7
Andorra,Apartment (3 bedrooms) in City Centre,2017.31,37.7
Andorra,Apartment (3 bedrooms) Outside of Centre,1833.91,37.7
Andorra,Price per Square Meter to Buy Apartment in City Centre,5016.29,37.7
Andorra,Price per Square Meter to Buy Apartment Outside of Centre,4189.24,37.7
Andorra,Average Monthly Net Salary (After Tax),2547.73,37.7
Andorra,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.0,37.7
Angola,"Meal, Inexpensive Restaurant",5.87,6.8
Angola,"Meal for 2 People, Mid-range Restaurant, Three-course",57.34,6.8
Angola,McMeal at McDonalds (or Equivalent Combo Meal),7.83,6.8
Angola,Domestic Beer (0.5 liter draught),1.55,6.8
Angola,Imported Beer (0.33 liter bottle),1.76,6.8
Angola,Cappuccino (regular),3.73,6.8
Angola,Coke/Pepsi (0.33 liter bottle),1.64,6.8
Angola,Water (0.33 liter bottle),1.04,6.8
Angola,"Milk (regular), (1 liter)",1.83,6.8
Angola,Loaf of Fresh White Bread (500g),1.37,6.8
Angola,"Rice (white), (1kg)",1.38,6.8
Angola,Eggs (regular) (12),2.34,6.8
Angola,Local Cheese (1kg),12.49,6.8
Angola,Chicken Fillets (1kg),5.53,6.8
Angola,Beef Round (1kg) (or Equivalent Back Leg Red Meat),11.19,6.8
Angola,Apples (1kg),2.43,6.8
Angola,Banana (1kg),1.16,6.8
Angola,Oranges (1kg),3.05,6.8
Angola,Tomato (1kg),2.33,6.8
Angola,Potato (1kg),1.93,6.8
Angola,Onion (1kg),1.68,6.8
Angola,Lettuce (1 head),1.72,6.8
Angola,Water (1.5 liter bottle),0.44,6.8
Angola,Bottle of Wine (Mid-Range),7.74,6.8
Angola,Domestic Beer (0.5 liter bottle),0.58,6.8
Angola,Imported Beer (0.33 liter bottle),1.15,6.8
Angola,Cigarettes 20 Pack (Marlboro),2.3,6.8
Angola,One-way Ticket (Local Transport),0.59,6.8
Angola,Monthly Pass (Regular Price),35.13,6.8
Angola,Taxi Start (Normal Tariff),1.2,6.8
Angola,Taxi 1km (Normal Tariff),1.2,6.8
